Library	Implant	Platform	Single/Multiple	Scan Adapter Name	Directory	Scan Adapter STL	Method	ImplantTypeKwd	SubtypeKwd	Adapter Type	Offset	Height	Diameter	HFlat	RFlat	HoleDiameter	C1	C2	AnalogCutOffset	AnalogCutHeight	AnalogCutDiameter	AxisOcclusal	AxisAsymmetric	RegistrationClickCenter	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9						
ICam4D	Mist NMU Bridge	RP	Multiple	MURPXXXXXX	mist_NMU_Bridge	MURPXXXXXX.ad	ICam4D	3DMUTBBS	BridgeNMU	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Badger Screw_MURP	RP	Multiple	MURPXXXXXX	smartmouth_badger_exocad_proto_2	MURPXXXXXX.ad	ICam4D	Badger_MU_RP	BeaconBody	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Badger Screw_SRA 	RP	Multiple	MURPXXXXXX	smartmouth_badger_exocad_proto_2	MURPXXXXXX.ad	ICam4D	Badger_SRA	BeaconBody	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	BioHorizon MU TiBase	RP	Multiple	MURPXXXXXX	BioHorizons_Hybrid_Abutments_Non-Hexed_Vulcan	MURPXXXXXX.ad	ICam4D	MultiunitPXMUPFC	MultiunitCoverCapPXMUCC	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	BioThread	RP	Multiple	MURPXXXXXX	BioThread-MU	MURPXXXXXX.ad	ICam4D	MU-Direct-ConScrew	head	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Colwellmedi Sub R	RP	Multiple	MURPXXXXXX	Cowellmedi_Sub_R_MU_DA_55_Z_Imetric	MURPXXXXXX.ad	ICam4D	2SMB001		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	DAS Ti-Base R (GH=3)1	RP	Multiple	MURPXXXXXX	DAS_E_0025	MURPXXXXXX.ad	ICam4D	DAS_E_0025	1	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	DESS Aurum Base 36.007	RP	Multiple	MURPXXXXXX	DESS_MULTI-UNIT_AURUM_BASE_Intraoral	MURPXXXXXX.ad	ICam4D	RP	NonEngaging	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	DESS MU-RP 19.006 (FDA)	RP	Multiple	MURPXXXXXX	DESS_MULTI_DIRECT_Multi_Intraoral_fda	MURPXXXXXX.ad	ICam4D	MU		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	DESS MU-RP Angled Base 19.306 (FDA)	RP	Multiple	MURPXXXXXX	DESS_MULTI-UNIT_ANGLED_BASE_Intraoral_fda	MURPXXXXXX.ad	ICam4D	RP	NonEngaging	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	DESS MU-RP Direct 19.006	RP	Multiple	MURPXXXXXX	DESS_MULTI_DIRECT_Multi_Intraoral	MURPXXXXXX.ad	ICam4D	MU		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	DESS MU-RP-ASC 19.069 (FDA)	RP	Multiple	MURPXXXXXX	DESS_MULTI_DIRECT_Multi_IO_fda	MURPXXXXXX.ad	ICam4D	MURPASC	DESSDesktop	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	DESS MU-RP-TiBase 15.007	RP	Multiple	MURPXXXXXX	DESS_MULTI_TITANIUM_INTERFACE_Intraoral	MURPXXXXXX.ad	ICam4D	RP15007	nonengaging	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	DESS MU-WP 19.031 (FDA)	RP	Multiple	MURPXXXXXX	DESS_MULTI_DIRECT_Multi_Intraoral_fda	MURPXXXXXX.ad	ICam4D	MUWP		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
