Library	Implant	Platform	Single/Multiple	Scan Adapter Name	Directory	Scan Adapter STL	Method	ImplantTypeKwd	SubtypeKwd	Adapter Type	Offset	Height	Diameter	HFlat	RFlat	HoleDiameter	C1	C2	AnalogCutOffset	AnalogCutHeight	AnalogCutDiameter	AxisOcclusal	AxisAsymmetric	RegistrationClickCenter	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9
ICam4D	TRMA P37 Scrw 2.8 Rotational	RP	Multiple	TRMA_37-XXXX	TRI_Dental-Matrix_conid-imetric-only	TRMA_37-XXXX.ad	ICam4D	P37NONEngagingScanbodyMImprS37P37	Scrw28Rotational	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000									
ICam4D	TRMA P37 Scrw 2.6 Rotational Angled 1-20 Degr.	RP	Multiple	TRMA_37-XXXX	TRI_Dental-Matrix_conid-imetric-only	TRMA_37-XXXX.ad	ICam4D	P37NONEngagingScanbodyMImprS37P37	Scrw26RotationalAngled120	ICam4D																							
ICam4D	TRMA P37 Scrw 2.8-L Rotational	RP	Multiple	TRMA_37-XXXX	TRI_Dental-Matrix_conid-imetric-only	TRMA_37-XXXX.ad	ICam4D	P37NONEngagingScanbodyMImprS37P37	Scrw28LRotational	ICam4D																							
ICam4D	TRMA P37 Scrw 2.6 Rotational Angled 21-30 Degr	RP	Multiple	TRMA_37-XXXX	TRI_Dental-Matrix_conid-imetric-only	TRMA_37-XXXX.ad	ICam4D	P37NONEngagingScanbodyMImprS37P37	Scrw26RotationalAngled2130Grad	ICam4D																							
ICam4D	TRMA P45 Scrw 2.8 Rotational	RP	Multiple	TRMA_45-XXXX	TRI_Dental-Matrix_conid-imetric-only	TRMA_45-XXXX.ad	ICam4D	P45NONEngagingScanbodyMImprS50P45	Scrw28Rotational	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000									
ICam4D	TRMA P45 Scrw 2.6 Rotational Angled 1-20 Degr.	RP	Multiple	TRMA_45-XXXX	TRI_Dental-Matrix_conid-imetric-only	TRMA_45-XXXX.ad	ICam4D	P45NONEngagingScanbodyMImprS50P45	Scrw26RotationalAngled120	ICam4D																							
ICam4D	TRMA P45 Scrw 2.8-L Rotational	RP	Multiple	TRMA_45-XXXX	TRI_Dental-Matrix_conid-imetric-only	TRMA_45-XXXX.ad	ICam4D	P45NONEngagingScanbodyMImprS50P45	Scrw28LRotational	ICam4D																							
ICam4D	TRMA P45 Scrw 2.6 Rotational Angled 21-30 Degr	RP	Multiple	TRMA_45-XXXX	TRI_Dental-Matrix_conid-imetric-only	TRMA_45-XXXX.ad	ICam4D	P45NONEngagingScanbodyMImprS50P45	Scrw26RotationalAngled2130Grad	ICam4D																							
ICam4D	ICamRef	RP	Multiple	TRI matrix P37-P45-Long-Wide	ICamRef	TRMA-P37-P45-Long-Wide.bms	Mesh to mesh	Ref	Ref	General												0.000000;0.000000;1.000000	0.000000;1.000000;0.000000	0.000000;-3.7500000;7.500000									
ICam4D	ICamRef	RP	Multiple	TRI matrix P37-P45-Long-Narrow	ICamRef	TRMA-P37-P45-Long-Narrow.bms	Mesh to mesh	Ref	Ref	General												0.000000;0.000000;1.000000	0.000000;1.000000;0.000000	0.000000;-2.989367;6.800000									
ICam4D	ICamRef	RP	Multiple	ScanBody M-HC-50-60-P37	ICamRef	m-hc-50-60-p37.bms	Mesh to mesh	P37NONEngagingScanbodyMImprS37P37	Scrw28Rotational	General												0.000000;0.000000;1.000000	0.000000;1.000000;0.000000	0.000000; 2.500000;4.800000									
ICam4D	ICamRef	RP	Multiple	ScanBody M-HC-45-60-P45	ICamRef	m-hc-45-60-p45.bms	Mesh to mesh	P45NONEngagingScanbodyMImprS50P45	Scrw28Rotational	General												0.000000;0.000000;1.000000	0.000000;1.000000;0.000000	0.000000;2.2500000;5.100000									
